Symbol,Company Name,Market Cap,Div. ($),Div. Yield,Payout Ratio,Div. Growth,Payout Freq.,Div. Gr. Years,Div. Years,Div. Growth 3Y,Div. Growth 5Y
NVDA,NVIDIA Corporation,4.62T,0.04,0.02%,0.99%,17.65%,Quarterly,2,14,35.72%,20.11%
AAPL,Apple Inc.,4.03T,1.04,0.38%,13.19%,4.00%,Quarterly,14,15,4.17%,4.87%
GOOG,Alphabet Inc.,3.92T,0.84,0.26%,7.78%,5.00%,Quarterly,2,3,-,-
GOOGL,Alphabet Inc.,3.92T,0.84,0.26%,7.78%,5.00%,Quarterly,2,3,-,-
MSFT,Microsoft Corporation,3.07T,3.64,0.88%,21.78%,10.13%,Quarterly,20,24,10.21%,10.21%
AMZN,"Amazon.com, Inc.",2.24T,0,-,-,-,-,-,-,-,-
META,"Meta Platforms, Inc.",1.71T,2.10,0.31%,8.94%,5.00%,Quarterly,2,2,-,-
AVGO,Broadcom Inc.,1.63T,2.60,0.76%,50.73%,11.52%,Quarterly,16,16,11.62%,12.05%
TSLA,"Tesla, Inc.",1.57T,0,-,-,-,-,-,-,-,-
TSM,Taiwan Semiconductor Manufacturing Company Limited,1.54T,2.43,0.68%,115.16%,32.65%,Quarterly,3,22,19.71%,11.99%
BRK.A,Berkshire Hathaway Inc.,1.08T,0,-,-,-,-,-,-,-,-
BRK.B,Berkshire Hathaway Inc.,1.07T,0,-,-,-,-,-,-,-,-
WMT,Walmart Inc.,1.03T,0.94,0.73%,32.87%,13.25%,Quarterly,53,53,7.82%,5.38%
LLY,Eli Lilly and Company,935.38B,6.92,0.66%,27.15%,15.37%,Quarterly,11,56,15.25%,15.20%
JPM,JPMorgan Chase & Co.,868.45B,6.00,1.86%,28.97%,20.83%,Quarterly,15,56,13.19%,10.01%
XOM,Exxon Mobil Corporation,631.91B,4.12,2.73%,60.30%,4.12%,Quarterly,45,56,4.11%,3.03%
V,Visa Inc.,620.56B,2.68,0.82%,23.67%,13.51%,Quarterly,18,19,15.16%,15.24%
JNJ,Johnson & Johnson,574.95B,5.20,2.18%,47.14%,4.84%,Quarterly,64,64,4.78%,5.18%
ASML,ASML Holding N.V.,553.72B,6.53,0.46%,22.51%,14.21%,Quarterly,2,20,-1.77%,18.67%
MA,Mastercard Incorporated,478.44B,3.48,0.65%,19.07%,14.96%,Quarterly,14,21,14.11%,13.40%
ORCL,Oracle Corporation,450.05B,2.00,1.28%,37.55%,25.00%,Quarterly,12,18,13.72%,13.97%
COST,Costco Wholesale Corporation,442.80B,5.20,0.52%,27.85%,12.07%,Quarterly,1,23,13.04%,-16.49%
MU,"Micron Technology, Inc.",431.63B,0.46,0.12%,4.36%,-,Quarterly,-,5,-,35.69%
BAC,Bank of America Corporation,406.86B,1.12,1.99%,28.87%,7.84%,Quarterly,12,56,8.13%,8.85%
ABBV,AbbVie Inc.,394.59B,6.92,3.10%,281.78%,5.72%,Quarterly,54,54,5.21%,6.56%
HD,"The Home Depot, Inc.",379.29B,9.20,2.42%,62.75%,2.22%,Quarterly,16,39,5.70%,8.39%
PG,The Procter & Gamble Company,365.64B,4.23,2.69%,62.66%,4.97%,Quarterly,70,70,5.00%,5.97%
BABA,Alibaba Group Holding Limited,364.38B,1.05,0.64%,26.95%,-24.43%,Annual,3,3,-,-
CVX,Chevron Corporation,361.55B,7.12,3.90%,104.22%,4.70%,Quarterly,39,56,6.19%,6.01%
AMD,"Advanced Micro Devices, Inc.",352.17B,0,-,-,-,-,-,-,-,-
CAT,Caterpillar Inc.,347.30B,6.04,0.81%,31.58%,7.41%,Quarterly,33,56,8.04%,7.59%
NFLX,"Netflix, Inc.",343.98B,0,-,-,-,-,-,1,-,-
CSCO,"Cisco Systems, Inc.",342.88B,1.64,1.89%,63.33%,2.50%,Quarterly,15,16,2.34%,2.49%
PLTR,Palantir Technologies Inc.,340.62B,0,-,-,-,-,-,1,-,-
KO,The Coca-Cola Company,335.40B,2.04,2.62%,67.56%,5.15%,Quarterly,64,64,4.65%,4.33%
GE,GE Aerospace,332.20B,1.44,0.45%,17.68%,28.57%,Quarterly,2,55,65.10%,35.10%
TM,Toyota Motor Corporation,310.22B,5.63,2.32%,31.16%,15.76%,Semi-Annual,3,18,14.14%,7.23%
HSBC,HSBC Holdings plc,309.11B,3.28,3.62%,352.90%,-19.61%,Quarterly,-,35,27.30%,34.51%
NVS,Novartis AG,298.68B,3.10,1.98%,43.39%,19.50%,Annual,6,35,10.91%,8.33%
GS,"The Goldman Sachs Group, Inc.",296.03B,18.00,1.91%,30.20%,31.91%,Quarterly,14,28,17.73%,25.39%
AZN,AstraZeneca PLC,294.44B,3.13,1.67%,52.00%,213.00%,Semi-Annual,1,2,46.28%,25.63%
WFC,Wells Fargo & Company,292.59B,1.80,1.90%,27.96%,12.90%,Quarterly,4,56,15.02%,16.66%
MRK,"Merck & Co., Inc.",292.01B,3.40,2.89%,45.60%,5.06%,Quarterly,15,56,5.34%,5.67%
MS,Morgan Stanley,288.66B,4.00,2.19%,38.44%,8.28%,Quarterly,12,34,9.07%,22.90%
LRCX,Lam Research Corporation,286.32B,1.04,0.45%,20.73%,13.48%,Quarterly,12,13,14.80%,14.87%
PM,Philip Morris International Inc.,283.05B,5.88,3.23%,77.69%,6.42%,Quarterly,18,18,3.68%,3.41%
IBM,International Business Machines Corporation,277.00B,6.72,2.27%,60.20%,0.60%,Quarterly,30,56,0.60%,0.61%
RTX,RTX Corporation,263.34B,2.72,1.39%,53.83%,7.66%,Quarterly,4,55,6.67%,7.04%
AMAT,"Applied Materials, Inc.",262.38B,1.84,0.56%,21.25%,15.00%,Quarterly,8,22,20.95%,15.90%
INTC,Intel Corporation,250.96B,0,-,-,-,-,-,33,-30.04%,-17.86%
UNH,UnitedHealth Group Incorporated,249.74B,8.84,3.21%,65.99%,6.72%,Quarterly,16,33,9.77%,11.79%
AXP,American Express Company,246.95B,3.28,0.91%,21.33%,17.14%,Quarterly,4,56,14.94%,13.78%
RY,Royal Bank of Canada,243.74B,4.49,2.58%,44.73%,9.61%,Quarterly,10,54,5.04%,6.76%
SAP,SAP SE,242.46B,1.91,0.91%,26.02%,10.15%,Annual,2,30,5.70%,3.13%
MCD,McDonald's Corporation,231.88B,7.44,2.29%,61.95%,5.52%,Quarterly,51,51,7.77%,7.40%
PEP,"PepsiCo, Inc.",227.51B,5.69,3.42%,94.83%,4.98%,Quarterly,54,56,7.35%,6.83%
TMUS,"T-Mobile US, Inc.",221.08B,4.08,2.06%,36.60%,24.18%,Quarterly,3,4,-,-
NVO,Novo Nordisk A/S,220.04B,1.23,2.49%,33.99%,19.97%,Semi-Annual,6,25,25.22%,19.01%
MUFG,"Mitsubishi UFJ Financial Group, Inc.",219.95B,0.41,2.11%,54.97%,71.60%,Semi-Annual,3,10,30.48%,16.27%
SHEL,Shell plc,219.29B,2.89,3.72%,94.22%,4.03%,Quarterly,4,22,11.70%,21.11%
