Symbol,Company Name,Market Cap,Div. ($),Div. Yield,Payout Ratio,Div. Growth,Payout Freq.,Div. Gr. Years,Div. Years,Div. Growth 3Y,Div. Growth 5Y,Category,fiveYearAvgDivdendYield,Trainling_5Y_avg_dividend_yield,Trainling_5Y_min_dividend_yield,Trainling_5Y_max_dividend_yield,Trainling_10Y_avg_dividend_yield,Trainling_10Y_min_dividend_yield,Trainling_10Y_max_dividend_yield,Sector,Industry,FCF_Dividend_Ratio,Debt_to_Equity,ROE,EPS_Growth,Revenue_Growth,Trailing_EPS,Five_y_DividendYield_diff,Ten_y_DividendYield_diff
WMT,Walmart Inc.,852.68B,0.99,0.0092,0.35869999999999996,0.053200000000000004,Quarterly,53.0,54.0,0.09210000000000002,0.061900000000000004,Aristocrat+King,0.0123,0.015165794837233518,0.008046768284642687,0.02464313784012365,0.020679345746513405,0.008046768284642687,0.04200098319232948,Consumer Defensive,Discount Stores,1.99,71.65,22.31,-0.091,0.059,2.76,-0.2520325203252033,-0.555111650398749
XOM,ExxonMobil Holdings Corporation,653.92B,4.12,0.0259,0.5312,0.0404,Quarterly,45.0,56.0,0.042199999999999994,0.034300000000000004,Aristocrat,0.037,0.039072154069202635,0.023874489636460744,0.07264666264623024,0.05634782243489114,0.023874489636460744,0.14701973320010797,Energy,Oil & Gas Integrated,1.37,15.92,12.58,1.128,0.441,7.77,-0.3,-0.5403549084806788
JNJ,Johnson & Johnson,650.00B,5.36,0.0199,0.6213000000000001,0.0394,Quarterly,64.0,64.0,0.044000000000000004,0.049800000000000004,Aristocrat+King,0.0275,0.03433290950660536,0.021144589440474412,0.04420011224932885,0.035402912344382184,0.021144589440474412,0.050551245017607306,Healthcare,Drug Manufacturers - General,1.56,57.71,25.74,-0.009,0.066,8.61,-0.2763636363636363,-0.4378993511487826
ABBV,AbbVie Inc.,467.74B,6.92,0.026099999999999998,1.955,0.054900000000000004,Quarterly,54.0,54.0,0.053399999999999996,0.0588,Aristocrat+King+SCHD,0.0352,0.041646243823051675,0.025679587805590282,0.060277494346506866,0.05049969616624808,0.025679587805590282,0.09343063405673144,Healthcare,Drug Manufacturers - General,1.53,,,2.904,0.102,3.54,-0.25852272727272735,-0.48316520729001605
CSCO,"Cisco Systems, Inc.",437.45B,1.68,0.0151,0.5045000000000001,0.0245,Quarterly,14.0,16.0,0.0252,0.0258,SCHD,0.0279,0.031337298166393274,0.013400064875721483,0.04558044960775118,0.03557308247232824,0.013400064875721483,0.06291338464705677,Technology,Communication Equipment,1.95,62.02,27.32,0.521,0.176,3.33,-0.45878136200716846,-0.5755217442360789
CVX,Chevron Corporation,400.16B,7.12,0.0349,0.6838,0.0429,Quarterly,39.0,56.0,0.0582,0.0603,Aristocrat+SCHD,0.0395,0.04576446671406384,0.03237360454463443,0.06423637359729577,0.05469341183370923,0.03237360454463443,0.1190194889976884,Energy,Oil & Gas Integrated,1.3,18.96,12.23,3.219,0.535,10.39,-0.11645569620253164,-0.36189755164460125
CAT,Caterpillar Inc.,375.57B,6.52,0.008,0.281,0.0732,Quarterly,33.0,56.0,0.0793,0.0796,Aristocrat,0.0172,0.01908617759069947,0.007008939871200807,0.03455165829818959,0.02625779118347267,0.007008939871200807,0.05927289448421158,Industrials,Farm & Heavy Construction Machinery,2.71,232.78,56.97,0.682,0.24,23.22,-0.5348837209302325,-0.6953285238616945
KO,The Coca-Cola Company,375.53B,2.12,0.024300000000000002,0.6371,0.042199999999999994,Quarterly,64.0,64.0,0.0489,0.046900000000000004,Aristocrat+King+SCHD,0.0286,0.03238180060336672,0.022746078023045953,0.047036531974449146,0.037470976768711375,0.022746078023045953,0.05459947718362924,Consumer Defensive,Beverages - Non-Alcoholic,0.6,115.52,42.05,0.169,0.067,3.33,-0.15034965034965028,-0.3514980901087496
MRK,"Merck & Co., Inc.",369.26B,3.40,0.0227,2.6712000000000002,0.049400000000000006,Quarterly,15.0,56.0,0.052000000000000005,0.055099999999999996,SCHD,0.0297,0.03405902982622455,0.02271360775300191,0.053192646402337576,0.03642415649983883,0.02271360775300191,0.053192646402337576,Healthcare,Drug Manufacturers - General,1.51,128.41,6.96,,0.051,1.25,-0.23569023569023567,-0.37678721537174253
PG,The Procter & Gamble Company,339.41B,4.36,0.0298,0.6576000000000001,0.0397,Quarterly,70.0,70.0,0.05,0.0526,Aristocrat+King,0.025,0.031049057201132484,0.02312827798907158,0.03980479122206483,0.03493067051833959,0.02312827798907158,0.05370804003090083,Consumer Defensive,Household & Personal Products,1.48,64.49,30.29,-0.155,0.015,6.62,0.19199999999999995,-0.14688153540155616
