Symbol,Company Name,Market Cap,Div. ($),Div. Yield,Payout Ratio,Div. Growth,Payout Freq.,Div. Gr. Years,Div. Years,Div. Growth 3Y,Div. Growth 5Y,Category,fiveYearAvgDivdendYield,Trainling_5Y_avg_dividend_yield,Trainling_5Y_min_dividend_yield,Trainling_5Y_max_dividend_yield,Trainling_10Y_avg_dividend_yield,Trainling_10Y_min_dividend_yield,Trainling_10Y_max_dividend_yield,Sector,Industry,FCF_Dividend_Ratio,Debt_to_Equity,ROE,Five_y_DividendYield_diff,Ten_y_DividendYield_diff
WMT,Walmart Inc.,1.03T,0.94,0.0073,0.3287,0.1325,Quarterly,53.0,53.0,0.0782,0.0538,Aristocrat+King,0.0132,0.013883550665419242,0.0071657268827820635,0.019801968333771725,0.019658898262599256,0.0071657268827820635,0.03744545181284625,Consumer Defensive,Discount Stores,1.38,66.75,23.66,-0.44696969696969696,-0.6286668814046341
XOM,Exxon Mobil Corporation,631.91B,4.12,0.0273,0.603,0.0412,Quarterly,45.0,56.0,0.041100000000000005,0.030299999999999997,Aristocrat,0.0394,0.043978176230597084,0.02724687399687922,0.0897905850219614,0.05530216053116643,0.02724687399687922,0.1441284423527226,Energy,Oil & Gas Integrated,0.75,16.33,11.08,-0.3071065989847715,-0.5063484005364557
JNJ,Johnson & Johnson,574.95B,5.20,0.0218,0.4714,0.0484,Quarterly,64.0,64.0,0.0478,0.0518,Aristocrat+King,0.0278,0.03035159288833139,0.021667568986109793,0.03598359487956025,0.031650104952230244,0.021667568986109793,0.0402242371748668,Healthcare,Drug Manufacturers - General,0.0,57.77,35.56,-0.21582733812949637,-0.3112187137166555
ABBV,AbbVie Inc.,394.59B,6.92,0.031,2.8177999999999996,0.0572,Quarterly,54.0,54.0,0.0521,0.06559999999999999,Aristocrat+King+SCHD,0.037,0.04205388308933783,0.02725448948376967,0.06109523415968578,0.050637751283484314,0.02725448948376967,0.09334660318222886,Healthcare,Drug Manufacturers - General,0.0,0.0,1106.67,-0.16216216216216212,-0.387808518066821
HD,"The Home Depot, Inc.",379.29B,9.20,0.0242,0.6275,0.0222,Quarterly,16.0,39.0,0.057,0.0839,SCHD,0.0233,0.02543499509081246,0.017545986975153877,0.031965714107014126,0.02630626224326804,0.017545986975153877,0.04529028428172037,Consumer Cyclical,Home Improvement Retail,1.06,544.59,162.91,0.03862660944206,-0.0800669522636972
PG,The Procter & Gamble Company,365.64B,4.23,0.0269,0.6265999999999999,0.049699999999999994,Quarterly,70.0,70.0,0.05,0.059699999999999996,Aristocrat+King,0.0245,0.02668637774310608,0.023170699654536015,0.03228394633664591,0.03142405930505767,0.023170699654536015,0.049485366244725514,Consumer Defensive,Household & Personal Products,1.35,68.72,31.56,0.09795918367346935,-0.1439680106614847
CVX,Chevron Corporation,361.55B,7.12,0.039,1.0422,0.047,Quarterly,39.0,56.0,0.061900000000000004,0.0601,Aristocrat+SCHD,0.0412,0.04668581553093844,0.03430923043047593,0.0717373840420769,0.05335096920396966,0.03430923043047593,0.1229335153893301,Energy,Oil & Gas Integrated,0.0,21.24,7.16,-0.053398058252427195,-0.26899172438842694
CAT,Caterpillar Inc.,347.30B,6.04,0.008100000000000001,0.31579999999999997,0.0741,Quarterly,33.0,56.0,0.08039999999999999,0.0759,Aristocrat,0.0179,0.019262221561384667,0.00813884552328526,0.03138196015742616,0.027024480162904988,0.00813884552328526,0.06420937285752651,Industrials,Farm & Heavy Construction Machinery,1.95,203.25,43.53,-0.5474860335195529,-0.7002717554168378
CSCO,"Cisco Systems, Inc.",342.88B,1.64,0.0189,0.6333,0.025,Quarterly,15.0,16.0,0.023399999999999997,0.024900000000000002,SCHD,0.0286,0.03125705966833737,0.018898363944103387,0.042479728894857634,0.03551241176437018,0.018898363944103387,0.05339308423523882,Technology,Communication Equipment,1.91,63.23,22.42,-0.33916083916083917,-0.4677917082792308
KO,The Coca-Cola Company,335.40B,2.04,0.0262,0.6756,0.051500000000000004,Quarterly,64.0,64.0,0.04650000000000001,0.0433,Aristocrat+King+SCHD,0.0292,0.03206523644273563,0.025812982810451586,0.03908561819686701,0.03667377846234478,0.025812982810451586,0.05203135343059083,Consumer Defensive,Beverages - Non-Alcoholic,0.16,144.77,42.44,-0.10273972602739723,-0.28559311043171753
