index,label,checked,xpath
1,Name,True,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[1]/input"
2,Market Cap,True,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[2]/input"
3,Dividend Per Share ($),True,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[3]/input"
4,Dividend Yield,True,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[4]/input"
5,Payout Ratio,True,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[5]/input"
6,Dividend Growth,True,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[6]/input"
7,Dividend Payout Frequency,True,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[7]/input"
8,Enterprise Value,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[8]/input"
9,Market Cap Group,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[9]/input"
10,Industry,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[10]/input"
11,Sector,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[11]/input"
12,Stock Price,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[12]/input"
13,Forward PE,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[13]/input"
14,Exchange,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[14]/input"
15,Last Dividend ($),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[15]/input"
16,Dividend Growth Years,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[16]/input"
17,Dividend Payment Years,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[17]/input"
18,Dividend Growth (3Y),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[18]/input"
19,Dividend Growth (5Y),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[19]/input"
20,Price Change 1D,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[20]/input"
21,Price Change 1W,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[21]/input"
